Trans_ID,Product_ID,Cust_ID,Purchase_Date,GLYear,Week,GLPeriod,Selling_Branch,TONS
1087,8Z0151,DOMT,12/30/2024,2024,4,1,0400, 21.05 
1088,8Z0148,ALAB,12/31/2024,2024,6,2,0400, 20.83 
1089,8Z0148,INTE,1/1/2025,2025,6,2,0400, 10.35 
1090,8Z0148,WOOD,1/2/2025,2025,6,2,0400, 20.61 
1091,8Z0149,WEST,1/3/2025,2025,6,2,0400, 10.04 
1092,8Z0148,OVAL,1/4/2025,2025,7,2,0400, 20.76 
1093,8Z0151,OVAL,1/5/2025,2025,7,2,0400, 20.88 
1094,8Z0088,ACCE,1/6/2025,2025,8,2,0400, 0.70 
1095,8Z0148,SAPP,1/7/2025,2025,8,2,0400, 20.84 
1096,8Z0148,ALAB,3/12/2025,2025,9,3,0400, 11.16 
1097,8Z0149,NEW ,3/13/2025,2025,9,3,0400, 21.14 
1098,8Z0051,ACCE,3/14/2025,2025,10,3,0400, 0.81 
1099,8Z0148,ALAB,3/15/2025,2025,10,3,0400, 10.28 
1100,8Z0051,ACCE,3/16/2025,2025,12,3,0400, 13.03 
1101,8Z0148,INTE,3/17/2025,2025,12,3,0400, 11.29 
1102,8Z0148,SAPP,3/18/2025,2025,12,3,0400, 21.27 
1103,8Z0148,WOOD,3/19/2025,2025,12,3,0400, 20.94 
1104,8Z0149,WEST,3/20/2025,2025,13,3,0400, 6.50 
1105,8Z0149,WEST,3/21/2025,2025,14,4,0400, 15.29 
1106,8Z0051,ACCE,3/22/2025,2025,15,4,0400, 3.31 
1107,8Z0148,ALAB,2/12/2024,2024,15,4,0400, 21.45 
1108,8Z0148,INTE,2/13/2024,2024,16,4,0400, 10.28 
1109,8Z0149,NEW ,2/14/2024,2024,16,4,0400, 10.16 
1110,8Z0149,OVAL,2/15/2024,2024,16,4,0400, 10.31 
1111,8Z0148,INTE,2/16/2024,2024,17,4,0400, 21.23 
1112,8Z0051,ACCE,2/17/2024,2024,18,5,0400, 2.57 
1113,8Z0149,NEW ,2/18/2024,2024,18,5,0400, 10.63 
1114,8Z0148,ALAB,2/19/2024,2024,19,5,0400, 20.82 
1115,8Z0148,WOOD,2/20/2024,2024,19,5,0400, 20.53 
1116,8Z0149,RESO,2/21/2024,2024,19,5,0400, 8.14 
1117,8Z0051,ACCE,2/22/2024,2024,20,5,0400, 0.83 
1118,8Z0148,PHOE,2/23/2024,2024,20,5,0400, 21.30 
1119,8Z0088,ACCE,2/24/2024,2024,21,5,0400, 0.92 
1120,8Z0051,ACCE,2/25/2024,2024,22,6,0400, 0.85 
1121,8Z0148,ALAB,2/26/2024,2024,22,6,0400, 20.71 
1122,8Z0051,ACCE,2/27/2024,2024,23,6,0400, 2.02 
1123,8Z0148,ALAB,2/28/2024,2024,25,6,0400, 20.57 
1124,8Z0148,INTE,2/29/2024,2024,26,6,0400, 10.23 
1125,8Z0151,DOMT,3/1/2024,2024,26,6,0400, 21.70 
1126,8Z0148,WOOD,3/2/2024,2024,27,7,0400, 20.24 
1127,8Z0051,ACCE,3/3/2024,2024,28,7,0400, 0.82 
1128,8Z0148,ALAB,3/4/2024,2024,28,7,0400, 21.35 
1129,8Z0149,NEW ,8/8/2024,2024,28,7,0400, 21.35 
1130,8Z0148,SAPP,8/9/2024,2024,29,7,0400, 20.88 
1131,8Z0051,ACCE,8/10/2024,2024,30,7,0400, 0.80 
1132,8Z0148,ALAB,8/11/2024,2024,30,7,0400, 20.72 
1133,8Z0149,OVAL,8/12/2024,2024,30,7,0400, 11.14 
1134,8Z0151,OVAL,8/13/2024,2024,30,7,0400, 13.60 
1135,8Z0051,ACCE,8/14/2024,2024,31,8,0400, 1.76 
1136,8Z0148,INTE,8/15/2024,2024,31,8,0400, 21.18 
1137,8Z0148,SAPP,8/16/2024,2024,32,8,0400, 20.74 
1138,8Z0148,ALAB,8/17/2024,2024,33,8,0400, 20.68 
1139,8Z0051,ACCE,8/18/2024,2024,34,8,0400, 1.73 
1140,8Z0148,OVAL,8/19/2024,2024,34,8,0400, 20.52 
1141,8Z0148,WOOD,8/20/2024,2024,34,8,0400, 20.25 
1142,8Z0149,RESO,8/21/2024,2024,35,9,0400, 10.30 
1143,8Z0151,DOMT,8/22/2024,2024,35,9,0400, 8.57 
1144,8Z0088,ACCE,8/23/2024,2024,36,9,0400, 0.95 
